HIT ID,Worker ID,GS pass?,resume1.ID,resume1.Q1.answer.finance,resume1.Q1.answer.entertainment,resume1.Q1.answer.healthcare,resume1.Q1.answer.government,resume1.Q1.answer.sports,resume1.Q1.answer.technology,resume1.Q1.manufacturing,resume1.Q1.law,resume1.Q1.service_industry,resume1.Q1.other,resum1.Q2.answer,resume1.Q3.answer,resume1.Q4.communication,resume1.Q4.customer_service,resume1.Q4.leadership,resume1.Q4.organization/planning,resume1.Q4.collaboration,resume1.Q4.problem_solving,resume1.Q4.time_management,resume1.Q4.creativity,resume2.ID,resume2.Q1.answer.finance,resume2.Q1.answer.entertainment,resume2.Q1.answer.healthcare,resume2.Q1.answer.government,resume2.Q1.answer.sports,resume2.Q1.answer.technology,resume2.Q1.manufacturing,resume2.Q1.law,resume2.Q1.service_industry,resume2.Q1.other,resume2.Q2.answer,resume2.Q3.answer,resume2.Q4.communication,resume2.Q4.customer_service,resume2.Q4.leadership,resume2.Q4.organization/planning,resume2.Q4.collaboration,resume2.Q4.problem_solving,resume2.Q4.time_management,resume2.Q4.creativity,resume3.id,resume3.Q1.answer.finance,resume3.Q1.answer.entertainment,resume3.Q1.answer.healthcare,resume3.Q1.answer.government,resume3.Q1.answer.sports,resume.Q1.answer.technology,resume3.Q1.manufacturing,resume3.Q1.law,resume3.Q1.service_industry,resume3.Q1.other,resume3.Q2.answer,resume3.Q3.answer,resume3.Q4.communication,resume3.Q4.customer_service,resume3.Q4.leadership,resume3.Q4.organization/planning,resume3.Q4.collaboration,resume3.Q4.problem_solving,resume3.Q4.time_management,resume3.Q4.creativity
1,1,TRUE,1,3,0,1,0,0,0,0,0,0,0,College Graduate,Manager,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,3,0,0,0,6,0,0,0,0,0,High School Diploma,Associate,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,0,0,3,2,0,0,0,0,0,0,College Graduate,Analyst,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
1,2,TRUE,1,2,0,2,0,0,0,0,0,0,0,College Graduate,Manager,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,0,0,0,5,0,0,0,0,0,High School Diploma,Analyst,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,0,0,3,2,0,0,0,0,0,0,College Graduate,Analyst,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
1,3,TRUE,1,3,0,1,0,0,0,0,0,0,0,College Graduate,Manager,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,5,0,0,0,0,0,High School Diploma,Associate,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,0,0,3,2,0,2,0,0,0,0,High School Diploma,Analyst,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2,4,TRUE,4,6,0,0,0,0,2,0,0,0,0,Masters Degree,Associate,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,5,0,4,0,0,3,1,0,0,0,0,College Graduate,Manager,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,6,4,0,0,10,2,0,0,0,0,0,Law Degree,Manager,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2,5,TRUE,4,7,0,0,0,0,2,0,0,0,0,Masters Degree,Manager,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5,0,5,0,0,3,0,0,0,0,0,College Graduate,Associate,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,6,4,0,0,10,2,0,0,0,0,0,Law Degree,Manager,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
2,6,TRUE,4,6,0,0,0,0,3,0,0,0,0,Masters Degree,Associate,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,5,0,5,0,0,3,0,0,0,0,0,College Graduate,Manager,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,6,4,0,0,10,2,0,0,0,0,0,Law Degree,Manager,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
3,7,TRUE,7,0,0,6,0,0,2,0,0,0,0,High School Diploma,CEO,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,8,0,0,0,0,0,0,0,25,0,0,Law Degree,Director,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,9,0,0,5,0,0,0,0,3,0,0,Law Degree,Associate,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
3,8,TRUE,7,0,0,6,0,0,2,0,0,0,0,High School Diploma,CEO,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,8,0,0,0,0,0,0,0,25,0,0,Law Degree,Director,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,9,0,0,5,0,0,0,0,3,0,0,Law Degree,Associate,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3,9,TRUE,7,0,0,6,0,0,2,0,0,0,0,High School Diploma,CEO,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,8,0,0,0,0,0,0,0,0,25,0,Law Degree,Director,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,9,1,0,5,0,0,0,0,3,0,0,Law Degree,Associate,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
4,10,TRUE,10,0,10,0,0,0,0,0,0,0,0,College Graduate,Manager,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,11,0,0,0,5,0,0,0,0,7,0,Law Degree,Manager,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12,0,8,0,2,0,0,0,0,0,0,College Graduate,Manager,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
4,11,TRUE,10,0,10,0,0,0,0,0,0,0,0,College Graduate,Manager,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11,0,0,0,5,0,0,0,0,7,0,Law Degree,Manager,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12,0,8,0,2,0,0,0,0,0,0,College Graduate,Manager,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4,12,TRUE,10,0,10,0,0,0,0,0,0,0,0,Masters Degree,CEO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,11,0,0,0,5,0,0,0,0,7,0,Masters Degree,Manager,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12,0,8,0,2,0,0,0,0,0,0,Masters Degree,CEO,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
5,13,TRUE,13,0,0,0,0,0,0,0,6,0,0,Law Degree,Associate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,14,27,0,0,0,0,0,0,0,0,0,Masters Degree,Manager,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,15,0,0,0,0,3,0,8,0,0,0,High School Diploma,Manager,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,14,TRUE,13,0,0,0,0,0,0,0,6,0,0,Law Degree,Associate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,14,27,0,0,0,0,0,0,0,0,0,Masters Degree,Manager,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,15,0,0,0,0,3,0,8,0,0,0,High School Diploma,Manager,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,15,TRUE,13,0,0,0,0,0,0,0,6,0,0,Law Degree,Associate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,14,26,0,0,0,0,0,0,0,0,0,Masters Degree,Manager,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,15,0,0,0,0,2,0,8,0,0,0,High School Diploma,Manager,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
