"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.document_url","Answer.Collaboration","Answer.Communication","Answer.Creativity","Answer.Customer Service","Answer.Education Level","Answer.Entertainment","Answer.Finance","Answer.Government","Answer.Healthcare","Answer.Job Title","Answer.Law","Answer.Leadership","Answer.Manufacturing","Answer.Organization/Planning","Answer.Other","Answer.Problem-Solving","Answer.Service Industry","Answer.Sports","Answer.Technology","Answer.Time Management","Approve","Reject"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","317HQ483I884AQP1DSUDO7Q9RF3ING","A38QER4O95UG4W","Submitted","Fri May 07 12:13:54 PDT 2021","Fri May 07 12:17:26 PDT 2021","Mon May 10 12:17:26 PDT 2021","","","","212","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","TRUE","FALSE","FALSE","FALSE","masters","0","2","0","0","Private Equity Associate","0","TRUE","0","TRUE","0","TRUE","0","0","3","FALSE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","32XVDSJFP0DUHNQZCOULOCUSXSM2MD","AQCJR7AUM13ZB","Submitted","Fri May 07 11:09:49 PDT 2021","Fri May 07 11:11:15 PDT 2021","Mon May 10 11:11:15 PDT 2021","","","","86","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","TRUE","TRUE","TRUE","TRUE","bachelors","1","1","1","1","Executive Officer","1","TRUE","1","TRUE","1","TRUE","1","1","1","TRUE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","338JKRMM27FXUCKSY67N2P5USU8AHC","A1N06WJCW9GQYS","Submitted","Fri May 07 10:30:00 PDT 2021","Fri May 07 10:36:40 PDT 2021","Mon May 10 10:36:40 PDT 2021","","","","400","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","FALSE","FALSE","FALSE","FALSE","masters","0","2","0","0","Private Equity Associate –Enterprise Software and Technology-Enabled Services","0","FALSE","0","TRUE","0","FALSE","0","0","3","FALSE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","35GMH2SV3FXAC6NRIO4ZIHSMPX2OEV","A2SM26ZFOYOKJY","Submitted","Fri May 07 19:30:46 PDT 2021","Fri May 07 19:37:18 PDT 2021","Mon May 10 19:37:18 PDT 2021","","","","392","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","TRUE","TRUE","FALSE","TRUE","bachelors","0","5","0","0","Private Equity Associate","0","TRUE","0","TRUE","0","TRUE","0","0","0","TRUE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","36DSNE9QZ6EINM9JWPFQFX5EU4TOJ9","AJDN5X0T9QLEH","Submitted","Fri May 07 11:48:53 PDT 2021","Fri May 07 11:50:17 PDT 2021","Mon May 10 11:50:17 PDT 2021","","","","84","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","FALSE","TRUE","FALSE","FALSE","masters","0","0","0","0","Private Equity Associate","0","TRUE","0","FALSE","0","FALSE","0","0","3","FALSE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","36H9ULYP63AOH9WQXMW0S3W023YJFE","A36IANMPHV1451","Submitted","Fri May 07 17:21:59 PDT 2021","Fri May 07 17:22:50 PDT 2021","Mon May 10 17:22:50 PDT 2021","","","","51","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","FALSE","FALSE","FALSE","FALSE","high school","0","0","0","0","community service","0","FALSE","0","FALSE","0","FALSE","0","0","0","FALSE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","38F5OAUN5OSFBAMUR3V3SY34RMXH7N","A2G44A4ZPWRPXU","Submitted","Fri May 07 10:02:27 PDT 2021","Fri May 07 10:46:46 PDT 2021","Mon May 10 10:46:46 PDT 2021","","","","2659","100% (4/4)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","TRUE","TRUE","TRUE","FALSE","masters","0","0","0","0","Private Equity Associate","0","TRUE","0","TRUE","2","TRUE","0","0","3","TRUE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","38F71OA9GUCEIH2B0J9S8VOH6XKMFC","AZD2L3OOLDLDO","Submitted","Fri May 07 15:01:54 PDT 2021","Fri May 07 15:08:01 PDT 2021","Mon May 10 15:08:01 PDT 2021","","","","367","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","FALSE","FALSE","FALSE","FALSE","masters","0","0","0","0","Nil","0","FALSE","0","FALSE","0","FALSE","0","0","0","FALSE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","3B1NLC6UG0CQHKVJ3J727KIOCI7PGO","A2P75AMJ9JXSUG","Submitted","Fri May 07 18:08:54 PDT 2021","Fri May 07 18:09:55 PDT 2021","Mon May 10 18:09:55 PDT 2021","","","","61","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","FALSE","FALSE","FALSE","FALSE","masters","0",">5","0","0","Private Equity Associate","0","FALSE","0","FALSE","0","FALSE","0","0","0","FALSE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","3CCZ6YKWR8Z790QS5YSEHXRKH5I952","A1GC5IB0VII1YE","Submitted","Fri May 07 19:42:28 PDT 2021","Fri May 07 19:47:24 PDT 2021","Mon May 10 19:47:24 PDT 2021","","","","296","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","TRUE","TRUE","FALSE","TRUE","masters","0","3","1","0","Leadership and Project Management","0","TRUE","0","TRUE","1","FALSE","0","0","1","TRUE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","3E7TUJ2EGD22DD5LK4AXF9FCUK7D91","A2HR7ZIX42FEPG","Submitted","Fri May 07 11:30:35 PDT 2021","Fri May 07 11:31:52 PDT 2021","Mon May 10 11:31:52 PDT 2021","","","","77","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","TRUE","TRUE","FALSE","FALSE","bachelors","0",">5","0","0","Private Equity Associate – Enterprise Software and Technology-Enabled Services","0","TRUE","0","TRUE","0","TRUE","0","0","3","FALSE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","3EQHHY4HQT8MOAD0J4YO9ED7LG35GB","ANC6O2ZVJJ10Q","Submitted","Fri May 07 11:22:41 PDT 2021","Fri May 07 11:27:06 PDT 2021","Mon May 10 11:27:06 PDT 2021","","","","265","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","TRUE","FALSE","FALSE","FALSE","masters","0","5","0","0","Private Equity Associate","0","TRUE","0","TRUE","0","TRUE","0","0","0","TRUE"
"3NI0WFPPI9WJAQ4ZKJEOR884Z6L06C","3R4JFGW1TMMSSC0QOBWTB3YVDLLP8N","Read resumes and answer questions","Answer questions about people's work and education experience after reading their resume.","survey, resume, hiring","$0.15","Fri May 07 10:00:43 PDT 2021","20","BatchId:4434324;OriginalHitTemplateId:928390912;","3600","259200","Tue May 11 10:00:43 PDT 2021","","","3F0BG9B9MQ31X5CJ13ZREYY7HIK7YM","A2XRPDH3WXT29P","Submitted","Fri May 07 10:59:05 PDT 2021","Fri May 07 10:59:13 PDT 2021","Mon May 10 10:59:13 PDT 2021","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","https://resumes213.s3.amazonaws.com/resume1.pdf","FALSE","FALSE","FALSE","FALSE","high school","0","0","0","0","0","0","FALSE","0","FALSE","0","FALSE","0","0","0","FALSE"
